[1783874858.055295] SYN | 172.31.11.58:58086 -> 172.65.216.67:5500
[1783874858.056518] SYN | 172.65.216.67:5500 -> 172.31.11.58:58086
[1783874858.056640] FIN/RST (FA) | 172.31.11.58:27396 -> 172.65.216.67:5500
[1783874862.862537] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:58086
[1783874864.864408] SYN | 172.31.11.58:40428 -> 172.65.216.67:5500
[1783874864.865207] SYN | 172.65.216.67:5500 -> 172.31.11.58:40428
[1783874864.865310] FIN/RST (FA) | 172.31.11.58:58086 -> 172.65.216.67:5500
[1783874884.684778] FIN/RST (FA) | 183.197.142.161:5461 -> 172.31.12.58:10340
[1783874884.684906] FIN/RST (FA) | 172.31.12.58:10340 -> 183.197.142.161:5461
[1783874884.684936] FIN/RST (FA) | 172.31.11.58:40428 -> 172.65.216.67:5500
[1783874884.688565] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:40428
